Year,State,Food-at-home per capita sales (nominal U.S. dollars),Food-away-from-home per capita sales (nominal U.S. dollars),Total food per capita sales (nominal U.S. dollars),Food-at-home per capita sales (constant U.S. dollars (1988=100)),Food-away-from-home per capita sales (constant U.S. dollars (1988=100)),Total food per capita sales (constant U.S. dollars (1988=100))
2018,Alabama,"2,364.30","2,606.79","4,971.09","1,148.14","1,158.27","2,306.41"
2019,Alabama,"2,436.07","2,724.87","5,160.94","1,174.90","1,174.62","2,349.52"
2020,Alabama,"2,529.61","2,457.99","4,987.60","1,178.55","1,031.41","2,209.96"
2021,Alabama,"2,707.77","2,998.09","5,705.86","1,219.66","1,211.21","2,430.87"
2022,Alabama,"3,040.84","3,222.99","6,263.83","1,229.75","1,208.18","2,437.93"
2023,Alabama,"3,064.24","3,366.21","6,430.45","1,176.35","1,178.06","2,354.41"
2024,Alabama,"3,075.04","3,405.37","6,480.41","1,166.00","1,147.19","2,313.19"
2018,Alaska,"3,186.02","2,885.91","6,071.93","1,503.95","1,253.74","2,757.69"
2019,Alaska,"3,273.18","3,009.08","6,282.26","1,521.90","1,262.37","2,784.27"
2020,Alaska,"3,370.97","2,600.35","5,971.32","1,507.27","1,043.11","2,550.38"
2021,Alaska,"3,489.59","3,225.45","6,715.04","1,495.10","1,233.72","2,728.82"
2022,Alaska,"3,838.87","3,669.24","7,508.11","1,476.38","1,308.17","2,784.55"
2023,Alaska,"3,824.96","3,887.94","7,712.90","1,405.96","1,290.02","2,695.98"
2024,Alaska,"3,814.00","4,002.50","7,816.50","1,382.58","1,269.34","2,651.92"
2018,Arizona,"2,575.66","2,702.62","5,278.28","1,215.83","1,174.12","2,389.95"
2019,Arizona,"2,596.87","2,798.35","5,395.22","1,207.45","1,173.96","2,381.41"
2020,Arizona,"2,928.85","2,652.95","5,581.80","1,309.58","1,064.21","2,373.79"
2021,Arizona,"3,091.92","3,272.25","6,364.17","1,324.72","1,251.62","2,576.34"
2022,Arizona,"3,330.12","3,671.45","7,001.57","1,280.72","1,308.95","2,589.67"
2023,Arizona,"3,405.08","3,896.42","7,301.50","1,251.62","1,292.83","2,544.45"
2024,Arizona,"3,478.85","4,005.70","7,484.55","1,261.09","1,270.35","2,531.44"
2018,Arkansas,"2,475.97","2,331.10","4,807.07","1,202.37","1,035.77","2,238.14"
2019,Arkansas,"2,461.48","2,437.18","4,898.66","1,187.16","1,050.60","2,237.76"
2020,Arkansas,"2,666.90","2,346.26","5,013.16","1,242.51",984.53,"2,227.04"
2021,Arkansas,"2,890.73","2,848.70","5,739.43","1,302.07","1,150.86","2,452.93"
2022,Arkansas,"3,300.88","3,128.71","6,429.59","1,334.91","1,172.84","2,507.75"
2023,Arkansas,"3,372.43","3,259.92","6,632.35","1,294.67","1,140.87","2,435.54"
2024,Arkansas,"3,412.11","3,311.37","6,723.48","1,293.81","1,115.53","2,409.34"
2018,California,"2,336.82","3,384.95","5,721.77","1,103.09","1,470.54","2,573.63"
2019,California,"2,405.65","3,551.46","5,957.11","1,118.53","1,489.91","2,608.44"
2020,California,"2,615.17","2,953.78","5,568.95","1,169.32","1,184.89","2,354.21"
2021,California,"2,787.62","3,752.69","6,540.31","1,194.34","1,435.38","2,629.72"
2022,California,"3,036.54","4,471.75","7,508.29","1,167.81","1,594.28","2,762.09"
2023,California,"3,116.39","5,138.49","8,254.88","1,145.51","1,704.95","2,850.46"
2024,California,"3,190.84","5,504.33","8,695.17","1,156.69","1,745.63","2,902.32"
2018,Colorado,"2,734.39","3,229.65","5,964.04","1,290.76","1,403.08","2,693.84"
2019,Colorado,"2,821.56","3,347.21","6,168.77","1,311.92","1,404.22","2,716.14"
2020,Colorado,"3,072.47","2,941.52","6,013.99","1,373.80","1,179.97","2,553.77"
2021,Colorado,"3,194.61","3,750.70","6,945.31","1,368.71","1,434.62","2,803.33"
2022,Colorado,"3,472.33","4,276.10","7,748.43","1,335.41","1,524.53","2,859.94"
